Normalized_Route,Average Oeperational Cost,Mean_Occupancy_Rate,Avg_arr_delay,Total_trip,Average Round Trip Revenue Per Passenger,PROFIT
ABE-ATL,44963.76055299539,0.654331797235023,2.557603686635945,217.0,515.4359886201992,27069.795
ABE-CLT,40399.8850996016,0.6610956175298806,1.4681274900398407,251.0,346.72727272727275,10071.76
ABE-DTW,41780.692625340074,0.6453796638165565,5.981854838709677,248.0,81.10681818181817,-26794.095
ABE-FLL,50995.259999999995,0.60525,4.25,20.0,161.01666666666665,-27267.440000000002
ABE-ORD,50334.35316067034,0.6492310246494003,23.666666666666668,159.0,432.96031746031747,10428.515
ABE-PGD,49421.729999999996,0.646375,-3.4875,40.0,93.85185185185185,-32764.405
ABE-PIE,38245.56363636363,0.6499999999999999,-11.670454545454547,44.0,85.39143615005685,-22594.68
ABE-SFB,48138.076451612906,0.6681854838709678,1.3238263834251247,124.0,44.76628003314002,-37478.345
ABI-DFW,34919.493563301585,0.6561263338607062,6.320831326421105,487.0,290.44705882352946,7787.385
ABQ-ATL,64117.02181818182,0.6547575757575758,-3.796969696969697,165.0,412.7251082251082,-5486.74
ABQ-AUS,53109.12571428571,0.6393571428571428,-0.8785714285714286,70.0,208.54460414563164,-21966.73
ABQ-BWI,72095.87360114777,0.6615717360114777,-6.820373027259684,82.0,297.4780423280423,-28104.254999999997
ABQ-DAL,51979.74212929672,0.6600017977851287,-0.34919171227239687,408.0,82.5661826422696,-36460.965
ABQ-DEN,49173.9120478056,0.6563428776034614,5.411211024103127,574.0,140.84294871794873,-26091.26
ABQ-DFW,52827.54448501952,0.651321813476436,5.9239358786993055,644.0,241.2528597230584,-16841.64
ABQ-HOU,54926.2969105691,0.6524520726688747,-3.936936255983875,243.0,153.30919732441473,-30353.75
ABQ-IAH,56820.392962662336,0.6551868574134199,5.7014684227748695,384.0,396.3164362519201,-301.8199999999997
ABQ-JFK,78409.11,0.6367499999999999,7.75,60.0,314.76193390452875,-33866.925
ABQ-LAS,50532.10447104594,0.6570348271734252,2.920281425891182,326.0,109.97432207241327,-31481.47
ABQ-LAX,55211.77345315242,0.6495405463463535,5.029134295227525,527.0,150.80761862867521,-31073.86
ABQ-MCI,54540.83414585414,0.6326348651348651,-1.5584415584415585,77.0,318.09927536231885,-9864.25
ABQ-MCO,69788.08000000002,0.6358571428571429,0.5285714285714285,35.0,309.6724653275944,-25955.59
ABQ-MDW,62138.392185574485,0.6376772985381176,0.24688568637029817,89.0,267.9716599190283,-23498.765
ABQ-MSP,58936.16,0.6166666666666667,-0.25,2.0,494.9697088906373,6426.77
ABQ-OAK,58912.1280097595,0.6526997647263855,5.259345590798188,151.0,225.75473375067625,-24873.22
ABQ-ORD,65652.28827414445,0.6609666428373766,13.428984635320251,293.0,500.9792735042735,5200.595
ABQ-PDX,61233.1182278481,0.6592745253164557,-0.7594936708860758,79.0,312.6577205882353,-15392.744999999999
ABQ-PHX,47867.24723668542,0.6419128238849217,1.5952973787156468,863.0,91.57173939597521,-31617.645
ABQ-SAN,53467.858719347496,0.6567023286196,4.438025210084033,237.0,150.02627818355035,-29166.42
ABQ-SEA,64364.8,0.656236559139785,5.725806451612903,93.0,238.200935828877,-28507.915
ABQ-SFO,63648.13924446374,0.6724880590534086,21.56105442176871,141.0,318.04012018381053,-16165.09
ABQ-SJC,60832.12857142856,0.6382142857142856,12.642857142857142,14.0,322.22380952380956,-15235.06
ABQ-SLC,52793.979999999996,0.65702,6.055775100401607,250.0,346.11015490533566,-2714.58
ABQ-SNA,54271.5,0.5383333333333333,9.666666666666666,6.0,365.87605932203394,-11110.51
ABR-MSP,41066.499876161,0.632312349501204,15.523529411764706,170.0,363.3620689655172,9311.35
ABY-ATL,34728.16385542169,0.6487550200803214,2.0441767068273093,249.0,436.65,26468.9
ACT-DFW,32739.983256689527,0.6547722648021155,-1.1560662458866051,333.0,318.0,13486.94
ACV-LAX,47665.27172413793,0.635919540229885,22.992181234963915,87.0,360.43939393939394,2628.255
ACV-SFO,44508.0331094975,0.6463802049865055,29.97877419354839,248.0,335.5081730769231,3389.8
ACY-FLL,49771.8639688716,0.6506420233463035,-2.035019455252918,257.0,31.530958363244796,-41114.295
ACY-MCO,46726.00651685393,0.6498595505617977,-4.497191011235955,178.0,12.918048932199875,-40498.005
ACY-MYR,30778.075500510728,0.6521859039836568,0.2914964249233911,88.0,6.024587014982712,-25426.940000000002
ACY-PBI,49562.20719101123,0.6265168539325843,-1.4802732379979568,89.0,31.83076923076923,-41188.09
ACY-RSW,51204.51198032507,0.6629515968063873,1.2290597376675223,167.0,16.652247667514843,-44355.925
ACY-TPA,47636.556404494375,0.655,-6.966292134831461,89.0,50.974148061104586,-36373.945
ADK-ANC,53316.64173913043,0.6604347826086957,-12.543478260869566,23.0,572.09375,26872.525
ADQ-ANC,35887.02078947368,0.6313486842105263,-3.381208609271523,152.0,104.11294083357622,-18321.265
AEX-ATL,41031.5625,0.6467031249999999,-4.103125,320.0,399.9040920716112,15219.199999999999
AEX-DFW,37667.79198193111,0.6498271535228057,6.237523809523809,252.0,504.82142857142856,32490.33
AEX-IAH,36953.308722109534,0.6548775717183425,11.337172800154544,203.0,427.5,23622.870000000003
AGS-ATL,45048.10528576199,0.6469689964295805,0.32315215545135373,683.0,326.5,1727.75
AGS-CLT,45149.174781919115,0.6540955483635895,5.030738303465577,481.0,358.5,6328.1449999999995
AGS-DFW,58844.91586206897,0.6575862068965517,6.413793103448276,29.0,442.8154761904762,3996.0550000000003
ALB-ATL,47647.979999999996,0.6490400000000001,-6.225076305220883,250.0,331.5561904761905,-66.04999999999973
